PollutantCode,Formula,Description,Unit,UnitPrecision,NAPSCategory1,NAPSCategory2,NAPSCategory3
463-82-1,,2;2-DIMETHYLPROPANE,µg/m3,,ORGANIC,VOC,>C3 ALKANE
464-06-2,,2;2;3-TRIMETHYLBUTANE,µg/m3,,ORGANIC,VOC,>C3 ALKANE
496-11-7,,INDANE,µg/m3,,ORGANIC,VOC,MONO-AROMATIC
50-00-0,,FORMALDEHYDE,µg/m3,,ORGANIC,VOC,FORMALDEHYDE
513-35-9,,2-METHYL-2-BUTENE,µg/m3,,ORGANIC,VOC,>C2 ALKENE/ALKYNE
526-73-8,,1;2;3-TRIMETHYLBENZENE,µg/m3,,ORGANIC,VOC,DI+TRI AROMATICS
529-20-4,,O-TOLUALDEHYDE,µg/m3,,ORGANIC,VOC,OTHER ALDEHYDES
538-93-2,,ISO-BUTYLBENZENE,µg/m3,,ORGANIC,VOC,MONO-AROMATIC
540-84-1,,2;2;4-TRIMETHYLPENTANE,µg/m3,,ORGANIC,VOC,>C3 ALKANE
541-73-1,,1;3-DICHLOROBENZENE,µg/m3,,ORGANIC,VOC,CHLORINATED
542-75-6,,TRANS & CIS-1;3-DICHLOROPROPEN,µg/m3,,ORGANIC,VOC,CHLORINATED
56-23-5,,CARBONTETRACHLORIDE,µg/m3,,ORGANIC,VOC,CHLORINATED
563-46-2,,2-METHYL-1-BUTENE,µg/m3,,ORGANIC,VOC,>C2 ALKENE/ALKYNE
565-59-3,,2;3-DIMETHYLPENTANE,µg/m3,,ORGANIC,VOC,>C3 ALKANE
565-61-7,,METHYL ISO-BUTYL KETONE,µg/m3,,ORGANIC,VOC,KETONES
565-75-3,,2;3;4-TRIMETHYLPENTANE,µg/m3,,ORGANIC,VOC,>C3 ALKANE
5779-94-2,,2;5-DIMETHYLBENZALDEHYDE,µg/m3,,ORGANIC,VOC,OTHER ALDEHYDES
589-34-4,,3-METHYLHEXANE,µg/m3,,ORGANIC,VOC,>C3 ALKANE
589-43-5,,2;4-DIMETHYLHEXANE,µg/m3,,ORGANIC,VOC,>C3 ALKANE
589-53-7,,4-METHYLHEPTANE,µg/m3,,ORGANIC,VOC,>C3 ALKANE
589-81-1,,3-METHYLHEPTANE,µg/m3,,ORGANIC,VOC,>C3 ALKANE
590-18-1,,CIS-2-BUTENE,µg/m3,,ORGANIC,VOC,>C2 ALKENE/ALKYNE
590-35-2,,2;2-DIMETHYLPENTANE,µg/m3,,ORGANIC,VOC,>C3 ALKANE
