Province,CityName,YearAvgOzone,YearMaxOzone,Latitude,Longitude
144,BRITISH COLUMBIA,Metro Van - Burnaby,21.53,54,49.2488091,-122.9805104
145,QUEBEC,Montreal,21.46,61,45.5016889,-73.567256
146,BRITISH COLUMBIA,Metro Van - Surrey,21.3,43,49.1044302,-122.801094
147,ALBERTA,Fort Saskatchewan,21.27,41,53.7007157,-113.2094659
148,BRITISH COLUMBIA,Courtenay,21.21,46,49.6841391,-124.9904493
149,ALBERTA,Red Deer,21.02,46,52.2681118,-113.8112386
150,SASKATCHEWAN,Regina,20.69,46,50.4452112,-104.6188944
151,BRITISH COLUMBIA,Metro Van - Maple Ridge,20.27,42,49.2193226,-122.598398
152,BRITISH COLUMBIA,Duncan,20.26,44,48.7786908,-123.7079416
153,BRITISH COLUMBIA,Smithers,20.17,48,54.782355,-127.1685541
154,BRITISH COLUMBIA,Metro Van - Abbotsford,19.97,40,49.054587,-122.328026
155,BRITISH COLUMBIA,Metro Van-Hope,19.82,41,49.3829931,-121.4424751
156,BRITISH COLUMBIA,Metro Van-Pitt Meadows,19.66,41,49.2190648,-122.6895165
157,BRITISH COLUMBIA,Vernon,19.46,50,50.2670137,-119.2720107
158,BRITISH COLUMBIA,Prince George,19.36,47,53.9170641,-122.7496693
159,BRITISH COLUMBIA,Metro Van-Chilliwack,19.13,52,49.1579401,-121.9514666
160,ALBERTA,Fort Mackay,18.71,49,57.186758,-111.636785
161,BRITISH COLUMBIA,Castlegar,18.54,43,49.3237408,-117.6593341
162,BRITISH COLUMBIA,Quesnel,18.37,48,52.9817372,-122.4949058
163,BRITISH COLUMBIA,Metro Van - Richmond,18.21,40,49.1665898,-123.133569
164,BRITISH COLUMBIA,Squamish,17.98,37,49.7016339,-123.1558121
165,BRITISH COLUMBIA,Metro Van - Delta,17.97,40,49.0952155,-123.0264759
166,BRITISH COLUMBIA,Metro Van - Coquitlam,17.78,40,49.2837626,-122.7932065
167,BRITISH COLUMBIA,Metro Van - North Vancouver,16.84,39,49.3269904,-123.0732801
168,NOVA SCOTIA,Halifax,14.99,35,44.6488625,-63.5753196
169,BRITISH COLUMBIA,Metro Van - Port Moody,14.96,38,49.2849107,-122.8677562
170,BRITISH COLUMBIA,Metro Van - Vancouver,14,40,49.2827291,-123.1207375
